,id,name,description,abv,img,likes,type,Colour,IBU
0,26,The 1075,"american amber/red ales range light copper light brown color. characterized american-variety hops used produce perception medium hop bitterness, flavor, medium aroma. amber ales medium-high high maltiness medium low caramel character. medium medium-high body. style may low levels fruityester flavor aroma. diacetyl either absent barely perceived low levels. chill haze allowable cold temperatures. slight yeast haze acceptable bottle-conditioned products.",9,https://brewerydb-images.s3.amazonaws.com/brewery/BznahA/upload_0FkKKl-squareMedium.png,2,Red Ale,4,6
1,25,Smithwick's Premium Red Ale,irish-style red ales range light red-amber-copper light brown color. ales medium hop bitterness flavor. often hop aroma. irish-style red ales low medium candy-like caramel malt sweetness may balanced subtle degree roast barley roast malt character complexity. irish-style red ales medium body. style may low levels fruity-ester flavor aroma. diacetyl absent low levels. chill haze allowable cold temperatures. slight yeast haze acceptable bottle-conditioned products.,4.5,1,3,Red Ale,7,3
2,24,Kilkenny Irish Cream Ale,"mild, pale, light-bodied ale, made using warm fermentation (top bottom) cold lager , hop bitterness flavor range low low. hop aroma often absent. sometimes referred cream ales, beers crisp refreshing. pale malt character predominates. caramelized malt character absent. fruity estery aroma may perceived. diacetyl chill haze perceived. sulfur character and/or sweet corn-like dimethylsulfide (dms) extremely low absent style beer.",4.3,1,4,Pale Ale,8,4
3,23,Kaliber,non-alcoholic (na) malt beverages emulate character previously listed category/subcategory designation without alcohol (less percent). non-alcoholic (beer) malt beverages inherently profile lacking complexity balance flavors attributed alcohol. accordingly assessed negatively reasons related absence alcohol.,0.5,1,5,Non-Alcoholic,5,5
4,22,Irish Wheat,"beer made using either ale lager yeast. brewed withpercent wheat malt, hop rates may low medium. hop characters may light moderate bitterness, flavor aroma. fruity-estery aroma flavor typical low levels however, phenolic, clove-like characteristics perceived. color usually straw light amber, body light medium character. diacetyl perceived. style served yeast character portray full yeasty mouthfeel appear hazy cloudy. chill haze also acceptable. yeast flavor aroma low medium overpowering balance character malt hops. beers typically served yeast bottle, cloudy served.",5.3,1,2,Wheat,6,6
5,21,Hop House Lager,"style low malt lager (and adjunct) sweetness, medium bodied, contain low percentage (less ) adjuncts. color may light straw golden. alcohol content bitterness may also greater. hop aroma flavor low negligible. light fruity esters acceptable. chill haze diacetyl absent. note: beers marketed ""premium"" (based price) may fit definition.",5,1,1,Larger,4,3
6,20,Harp Premium Imported Lager,"style low malt lager (and adjunct) sweetness, medium bodied, contain low percentage (less than) adjuncts. color may light straw golden. alcohol content bitterness may also greater. hop aroma flavor low negligible. light fruity esters acceptable. chill haze diacetyl absent. note: beers marketed ""premium"" (based price) may fit definition.",4.5,1,6,Larger,4,5
7,19,Harp Lager,"style low malt lager (and adjunct) sweetness, medium bodied, contain low percentage (less than%) adjuncts. color may light straw golden. alcohol content bitterness may also greater. hop aroma flavor low negligible. light fruity esters acceptable. chill haze diacetyl absent. note: beers marketed ""premium"" (based price) may fit definition.",5,1,3,Larger,4,5
8,18,Guinness West Indies Porter,"brown porters mid dark brown (may red tint) color. roast barley strong burnt/black malt character perceived. low medium malt sweetness, caramel chocolate acceptable along medium hop bitterness. lightto medium-bodied beer. fruity esters acceptable. hop flavor aroma may vary negligible medium character.",6,1,1,Porter,9,7
9,17,Guinness Special Export,"classic dry stouts, foreign-style stouts initial malt sweetness caramel flavor distinctive dry-roasted bitterness finish. coffee-like roasted barley roasted malt aromas prominent. slight acidity permissible medium- full-bodied mouthfeel appropriate. bitterness may high perception often compromised malt sweetness. hop aroma flavor perceived. perception fruity esters low. diacetyl (butterscotch) negligible perceived. head retention excellent.",8,1,8,Stout,9,6
